var1;var2;var3;var4;var5;var6;var7;var8;var9;var10;var11;var12;var13;var14;var15;var16;var17;var18;var19;var20;var21;var22;var23;Columna1
35;10;Sonsonate;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Se cumplieron;De 16 a 20 semanas;Se cumplieron;Me parece excelente 👏 ;De 16 a 20 semanas;Se cumplieron;;Muy útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Utilicé otros materiales que encontraba en la web u otros libros (para clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE., Desarrollé sesiones  virtuales  con los estudiantes.;Primer año de bachillerato;8;Muy buena;5;Falta de interés ;Buscar una estrategia llamativa ;
48;25;San Salvador;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Se superaron;De 16 a 20 semanas;Se superaron;Colocar con mucha anticipación el material semanal.;De 16 a 20 semanas;Se superaron;Los tutores deben tener mayor dominio del área a enseñar;Muy útil;No tenía dispositivo para darle seguimiento a los estudiantes., La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Elaboré mis propios videos., Utilicé otros materiales que encontraba en la web u otros libros (para clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE., Desarrollé sesiones  virtuales  con los estudiantes.;Séptimo grado;Unidad 8;Excelente;7;Por los recursos;Seguimiento constante;
57;17;San Salvador;Excelente;Excelente;Muy útil;De 11 a 15 semanas;Se superaron;De 16 a 20 semanas;Se superaron;Que se puedan compartir a  través del drive;De 11 a 15 semanas;Se superaron;Más demostraciones;Muy útil;La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los estudiantes no trabajaban el CE., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mis propios videos., Utilicé otros videos de Youtube y que no eran de ESMATE.;Octavo grado;Unidad 6;Muy buena;4;Las bases de los estudiantes no eran buenas;Las teleclases deben de corracionarse con las guías ;
50;25;Morazán;Excelente;Muy buena;Muy útil;De 16 a 20 semanas;Se cumplieron;De 1 a 5 semanas;Se cumplieron;el material este a tiempo para no tener retrasos en el proceso;De 6 a 10 semanas;Se cumplieron;videos para niños de primer grado;Muy útil;No tenía acceso a internet para darle seguimiento a los estudiantes., La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mis propios videos.;Primer grado;10;Muy buena;6;porqie se necesota de mayor concentración;más ejemplificada;
45;20;La Libertad;Muy buena;Excelente;Muy útil;De 11 a 15 semanas;Bastante;De 6 a 10 semanas;Bastante;Me gusto mucho el trabajo que hicieron muchos compañeros ...solo que los vídeos a veces pesan mucho ...y para los jóvenes de la zona rural eso estaba difícil de ver;De 11 a 15 semanas;Se cumplieron;Excelente todos los vides;Muy útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Desarrollé sesiones  virtuales  con los estudiantes.;Séptimo grado;Todas;Muy buena;7;Hay que usar más análisis a los jóvenes se les digiculta;Estar de manera presencial aunque no se puede por ahora;
44;21;San Salvador;Muy buena;Excelente;Muy útil;De 16 a 20 semanas;Se cumplieron;De 16 a 20 semanas;Se cumplieron;Que se mejore los sitios porque a veces no carga lo que menciona,por ejemplo si es de octavo,carga guia de bachillerato;De 16 a 20 semanas;Se cumplieron;Los vídeos muy bien alojados pero se gasta mucho en datos,yo hacia mis vídeos y enviaba por watsap,porque era difícil para los alumnos que ocupaban datos cargarlos.;Muy útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los estudiantes no tenían el LT y CE., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mis propios videos.;Noveno grado;Doy en septimo,octavo y noveno   8 ;Muy buena;7;Porque era difícil hacer trazos y medidas de ángulos.;Elaboración de vídeos donde se muestren medidas exactas;
58;35;San Salvador;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Bastante;Ninguna semana;Bastante;;De 6 a 10 semanas;Se cumplieron;;Útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE.;Quinto grado;10;Buena;5;Por su proceso y necesitan explicacion;Memorizar tablas de multiplicar;
32;2;San Salvador;Muy buena;Muy buena;Muy útil;De 16 a 20 semanas;Se cumplieron;De 16 a 20 semanas;Se cumplieron;Un poco mas de expliacion de los temas;De 16 a 20 semanas;Se superaron;Excelente;Muy útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE., Desarrollé sesiones  virtuales  con los estudiantes.;Noveno grado;8;Muy buena;7;Por la geometría ;Aplicar la geometría ;
27;5;Morazán;Excelente;Muy buena;Muy útil;De 16 a 20 semanas;Se superaron;De 16 a 20 semanas;Se superaron;El problema es que no todos los alumnos tienen un celular con internet mucho menos una computadora ;De 16 a 20 semanas;Se cumplieron;Es dificil para los que no tienen acceso ;Muy útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé las teleclases de matemática., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Elaboré mis propios videos.;Segundo grado;6;Excelente;6;Por el motivo d no estar personalmente con cada alumno ya que son contenidos que necesitan mucha explicación ;Estar con los alumnos personalmente ;
27;3;Chalatenango;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Se cumplieron;De 6 a 10 semanas;Se cumplieron;Tal vez alguna páginas web con soporte más liviano para teléfonos móviles.;De 6 a 10 semanas;Se cumplieron;Un poco más de detalle en la explicación. No porta si excede los 7 min a 10 pero el detalle es muy importante.;Útil;La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los estudiantes no leían el LT., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Elaboré mis propios videos., Utilicé otros materiales que encontraba en la web u otros libros (para clases y guías)., Desarrollé sesiones  virtuales  con los estudiantes.;Segundo año de bachillerato;8;Excelente;5;Debido a la abstracción de las funciones considero es mejor trabajar presencial y que las dudas sean solventadas en el aula.;Trabajar con acetatos ;
46;2;San Salvador;Muy buena;Muy buena;Muy útil;De 6 a 10 semanas;Bastante;Ninguna semana;Bastante;El internet de los niños. No hay por eso se hace dificil.;De 6 a 10 semanas;Bastante;Más dinámicos y apegados al lengauje de los niños;Poco útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los estudiantes no leían el LT., La mayoría de los estudiantes no trabajaban el CE., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Desarrollé sesiones  virtuales  con los estudiantes.;Primer grado;9;Buena;5;Les cuesta comprender las des composiciones y más con la virtualidad que no se ha podido trabajar como se debe. Solo con dos niños pude llegar a la unidad 9. Los demás van atrasados. Poco compromiso de los padres.otros hasta este mes que dieron la bolsa solidaria aparecieron desde marzo.;Concentrarse más en suma y resta y descomponer.;
33;12;San Salvador;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Se cumplieron;De 16 a 20 semanas;Se cumplieron;;De 16 a 20 semanas;Se cumplieron;La explicación está excelente utilizando los simuladores pero también considero importante la explicación paso a paso con papel y lápiz pues muchos alumnos no cuentan con recursos tecnológicos manejo de geogebra por ejemplo ;Muy útil;La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Elaboré mis propios videos., Utilicé otros materiales que encontraba en la web u otros libros (para clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE.;Noveno grado;8;Excelente;5;Por el dominio de teoremas que debían poseer para resolver ejercicios y problemas sobre semejanza ;Realizar repasos sobre criterios de semejanza de triangulos, por medio de videos explicativos y cuestionarios ;
34;3;Morazán;Muy buena;Muy buena;Muy útil;De 16 a 20 semanas;Bastante;De 6 a 10 semanas;Bastante;;De 11 a 15 semanas;Bastante;;Útil;No tenía dispositivo para darle seguimiento a los estudiantes., No tenía acceso a internet para darle seguimiento a los estudiantes., La mayoría de los estudiantes no leían el LT., La mayoría de los estudiantes no trabajaban el CE.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Elaboré mis propios videos.;Séptimo grado;7;Muy buena;6;Bastante confusión en tratar de comprender la proporcionalidad directa y la inversa.;Guias de trabajo sobre el contenido con ejemplos concretos y similares.;
70;28;San Salvador;Muy buena;Muy buena;Muy útil;De 6 a 10 semanas;Bastante;De 6 a 10 semanas;Bastante;Incluir más de un temas por semana.;De 16 a 20 semanas;Bastante;;Útil;No tenía acceso a internet para darle seguimiento a los estudiantes., La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Utilicé otros materiales que encontraba en la web u otros libros (para clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE.;Octavo grado;8;Muy buena;2;Les cuesta el despeje  ,transposición de terminos,sustitución de incognitas y la ley de los signos.;Clases presenciales.;
28;4;San Salvador;Muy buena;Excelente;Muy útil;De 11 a 15 semanas;Bastante;De 16 a 20 semanas;Se cumplieron;Los videos de matemática subirlos a todas las redes sociales posibles, no solo youtube;De 6 a 10 semanas;Se cumplieron;;Muy útil;La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los estudiantes no leían el LT., La mayoría de los estudiantes no trabajaban el CE.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mis propios videos.;Noveno grado;5;Muy buena;3;Siempre se generan dudas con ecuaciones de segundo grado;Utilizar mas videos explicativos;
56;35;San Salvador;Excelente;Excelente;Muy útil;De 11 a 15 semanas;Un poco;De 1 a 5 semanas;Bastante;;De 6 a 10 semanas;Se cumplieron;;Útil;La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Elaboré mis propios videos., Desarrollé sesiones  virtuales  con los estudiantes.;Séptimo grado;7;Excelente;5;Pocas bases;Fortalecer en segundo ciclo;
50;14;Morazán;Muy buena;Excelente;Muy útil;De 16 a 20 semanas;Bastante;De 16 a 20 semanas;Se cumplieron;;De 16 a 20 semanas;Se superaron;Que sean enviados paralelamente a la jornalización ;Muy útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías).;Sexto grado;8;Muy buena;3;Por el desarrollo del PO;Mas ejemplos de de solución del PO;
49;17;San Salvador;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Se cumplieron;De 16 a 20 semanas;Bastante;Acceso a internet;De 16 a 20 semanas;Se cumplieron;;Útil;La mayoría de los estudiantes no tenían acceso a internet.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías).;Primer año de bachillerato;8;Excelente;6;No están familiarizados con las demostraciones;Elaborará una guía de demostraciones;
43;15;San Salvador;Muy buena;Excelente;Muy útil;De 11 a 15 semanas;Bastante;De 6 a 10 semanas;Bastante;;De 11 a 15 semanas;Se cumplieron;;Muy útil;Me enfermé de covid 19;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Desarrollé sesiones  virtuales  con los estudiantes.;Primer grado;UNIDAD  10;Muy buena;7;Porque se les ha dificultado la ubicación de los números en Tabla de Valores;Actividad : Practicar de manera lúdica con una Tabla de Valores elaborada la ubicación de Unidades y Decenas . ;
56;3;La Unión;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Se superaron;Ninguna semana;Un poco;El grupo inicio con whatsapp y se acostumbraron a trabajar en esa plataforma por eso no los introduje a otra plataforma y tenían que tener el correo institucional;De 16 a 20 semanas;Se superaron;que todos cuenten con coneccion estable, pues algunos no contaban con buena.conectividad;Muy útil;La mayoría de los estudiantes no tenían acceso a internet.;Utilicé los materiales ESMATE (LT, CE y GM), Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Utilicé otros materiales que encontraba en la web u otros libros (para clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE., Desarrollé sesiones  virtuales  con los estudiantes.;Segundo grado;9;Excelente;5;porque han tenido dificultad para comprender la multiplicación;hacer enfasis en el concepto de multiplicar;
47;20;La Unión;Excelente;Muy buena;Muy útil;De 11 a 15 semanas;Se cumplieron;De 11 a 15 semanas;Se cumplieron;Estan bien ;De 16 a 20 semanas;Se cumplieron;Resuelver ejemplos del Cuaderno de ejercicios ;Muy útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual.;Utilicé los materiales ESMATE (LT, CE y GM), Promoví el uso de los sitios web (sites) de matemática., Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Elaboré mis propios videos.;Quinto grado;11;Muy buena;10;Por los procesos ;. Minimizar la cantidad de ejercicios ;
40;17;San Salvador;Excelente;Excelente;Muy útil;De 11 a 15 semanas;Bastante;De 6 a 10 semanas;Bastante;La matematica deberia ser todos los dias tele lases;De 6 a 10 semanas;Bastante;Muy buenos;Muy útil;No tenía acceso a internet para darle seguimiento a los estudiantes., La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet.;Utilicé los materiales ESMATE (LT, CE y GM), Utilicé las teleclases de matemática.;Primer grado;11;Muy buena;7;Confunden suma y resta;Videos;
45;15;Morazán;Excelente;Excelente;Muy útil;De 6 a 10 semanas;Se cumplieron;De 6 a 10 semanas;Se cumplieron;no tarden en subir los videos explicativos, que vayan de acuerdo al tema diario que sugiere la tele clase;De 6 a 10 semanas;Se cumplieron;;Muy útil;La mayoría de los estudiantes no tenían acceso a internet., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Elaboré mis propios videos., Utilicé otros materiales que encontraba en la web u otros libros (para clases y guías).;Primer grado;11;Muy buena;5;por la descomposición de los números para efectuar las operaciones, algunos tendían a confundirse.;El tema descomposición de números para efectuar sumas o restas lo sentí complejo para los niños, dejar la descomposición como tema introductorio esta bien pero para operaciones pienso debería profundizarse mas adelante.;
53;28;San Salvador;Excelente;Excelente;Muy útil;De 11 a 15 semanas;Se cumplieron;Ninguna semana;Se cumplieron;;De 11 a 15 semanas;Se cumplieron;;Muy útil;La mayoría de los estudiantes no leían el LT., La mayoría de los estudiantes no trabajaban el CE., La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Utilicé los materiales ESMATE (LT, CE y GM), Utilicé las teleclases de matemática., Utilicé los videos de matemática alojados en el canal de ESMATE en YouTube., Utilicé otros materiales que encontraba en la web u otros libros (para clases y guías)., Utilicé otros videos de Youtube y que no eran de ESMATE.;Sexto grado;11;Muy buena;10;Porque no analizan y no leen;Guiar lectura para analizar;
44;20;Morazán;Excelente;Excelente;Muy útil;De 16 a 20 semanas;Se cumplieron;De 16 a 20 semanas;Se cumplieron;Yo pienso estar muy buen ;De 1 a 5 semanas;Bastante;Ser más claros. ;Útil;La mayoría de los padres no tenían el compromiso de estar pendiente de la entrega de actividades de sus hijos.;Elaboré mi propio material para que los estudiantes trabajaran (clases y guías).;Primer grado;Unidad 9;Excelente;8;Porque los padres no entendían. ;Explicación a padres;
34;5;San Salvador;Excelente;Excelente;Útil;De 6 a 10 semanas;Bastante;Ninguna semana;Un poco;Promocionarlos mas;Ninguna semana;Un poco;Ser mas concretos;Poco útil;La mayoría de los estudiantes no tenían un dispositivo para trabajar de forma virtual., La mayoría de los estudiantes no tenían acceso a internet.;Utilicé los materiales ESMATE (LT, CE y GM), Elaboré mi propio material para que los estudiantes trabajaran (clases y guías)., Elaboré mis propios videos., Utilicé otros materiales que encontraba en la web u otros libros (para clases y guías)., Desarrollé sesiones  virtuales  con los estudiantes.;Tercer grado;5;Muy buena;3;Por falta de acceso a internet para poder realizar video llamadas y los contenidos son muy redundantes;Dosificar mejor los contenidos para el proximo año;
